series_name,model_name,model_id,series_id
奔奔,2015款 1.4L 手动舒适型 国V,23008,3217
奔奔,2015款 1.4L 手动豪华型 国V,23009,3217
奔奔,2015款 1.4L 手动尊贵型 国V,23010,3217
奔奔,2015款 1.4L 手动天窗版 国V,23011,3217
奔奔,2015款 1.4L IMT豪华型 国V,23012,3217
奔奔,2015款 1.4L IMT尊贵型 国V,23013,3217
奔奔,2015款 1.4L IMT天窗版 国V,23014,3217
奥迪A3,2016款 Sportback 35 TFSI 进取型,25898,3170
奥迪A3,2016款 Sportback 35 TFSI 领英型,25899,3170
奥迪A3,2016款 Sportback 35 TFSI 风尚型,25900,3170
奥迪A3,2016款 Sportback 35 TFSI 特别版,27076,3170
奥迪A3,2016款 Limousine 35 TFSI 进取型,25903,3170
奥迪A3,2016款 Limousine 35 TFSI 领英型,25904,3170
奥迪A3,2016款 Limousine 35 TFSI 风尚型,25905,3170
奥迪A3,2016款 Limousine 35 TFSI 特别版,27078,3170
奥迪A3,2016款 Sportback 40 TFSI 风尚型,25901,3170
奥迪A3,2016款 Sportback 40 TFSI 豪华型,25902,3170
奥迪A3,2016款 Limousine 40 TFSI 风尚型,25906,3170
奥迪A3,2016款 Limousine 40 TFSI 豪华型,25907,3170
金刚,2015款 三厢 1.5L 手动超悦型,23035,447
金刚,2016款 1.5L 手动进取型 国V,24895,447
金刚,2016款 1.5L 手动精英型 国V,24896,447
金刚,2016款 1.5L 自动尊贵型 国V,24816,447
金刚,2016款 CROSS 1.5L 手动悦享版,26918,447
金刚,2016款 CROSS 1.5L 手动智享版,26919,447
金刚,2016款 CROSS 1.5L 自动尊享版,26915,447
星锐,2013款 1.9T4系舒适版,1002417,2569
星锐,2013款 1.9T4系星快运,1002418,2569
星锐,2017款 1.9T短轴中顶星物流厢式运输车,1005191,2569
星锐,2017款 1.9T短轴中顶星快运多用途乘用车,1005190,2569
星锐,2017款 1.9T短轴中顶星商旅轻型客车,1005189,2569
星锐,2017款 2.7T长轴高顶星物流箱式运输车,1004689,2569
星锐,2017款 2.7T长轴高顶星快运多功能商用车,1004688,2569
星锐,2017款 2.7T长轴高顶星商旅轻型客车,1004687,2569
星锐,2017款 2.0T短轴中顶星物流箱式运输车,1004692,2569
星锐,2017款 2.0T短轴中顶星快运多功能商用车,1004691,2569
星锐,2017款 2.0T短轴中顶星商旅轻型客车,1004690,2569
星锐,2013款 2.5T5系星快运,1001873,2569
星锐,2013款 2.5T6系星快运,1001877,2569
星锐,2013款 2.8T4系舒适版,1001866,2569
星锐,2013款 2.8T4系星快运,1001868,2569
星锐,2013款 2.8T5系舒适版,1001870,2569
星锐,2013款 2.8T5系旅行版,1001871,2569
星锐,2013款 2.8T5系星快运,1001872,2569
星锐,2013款 2.8T6系舒适版,1001874,2569
星锐,2013款 2.8T6系旅行版,1001875,2569
星锐,2013款 2.8T6系星快运,1001876,2569
大力神,2016款 K3 2.4T柴油两驱标准型短轴4D25U,1004236,2659
大力神,2016款 K3 2.4T柴油两驱标准型长轴4D25U,1004237,2659
大力神,2015款 2.2T两驱豪华型长轴D22A,1003366,2659
大力神,2015款 2.2T两驱精英型长轴D22A,1003368,2659
