name,comment_id,reply_name,reply_text,source,text
穿啥裤子都往下掉,4091172630782744,是扛把子,回复<a href='http://m.weibo.cn/n/穿啥裤子都往下掉'>@穿啥裤子都往下掉</a>:你最傻,iPhone 6,回复<a href='http://m.weibo.cn/n/是扛把子'>@是扛把子</a>:智障
是扛把子,4091155438361670,穿啥裤子都往下掉,萨德是目前世界上最厉害的武器。因为它不仅仅可以发现导弹，还可以发现SB。,Android客户端,回复<a href='http://m.weibo.cn/n/穿啥裤子都往下掉'>@穿啥裤子都往下掉</a>:你最傻
没错我就是张小飞,4091119597862885,猫巷里的树语,希望政府能安顿中国员工吧。。,iPhone 5s,"回复<a href='http://m.weibo.cn/n/猫巷里的树语'>@猫巷里的树语</a>:超市这东西是需求创造市场，不是市场创造需求好吗？乐天关了需求还在，自然有其他超市入驻。麻烦喷子们用点脑子，或者多读点书好嘛<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_miao-9ebe15b2c2.png"" style=""width:1em;height:1em;;""></span>"
喵星人吃猫罐头丶,4090993043170254,李小朴,棒子国有萨德，但中国有萨逼啊！谁怕谁啊！,魅蓝 E,回复<a href='http://m.weibo.cn/n/李小朴'>@李小朴</a>:图片评论 
灿烂木果果,4090989436605627,-,-,LG G3,"我们不是还有大统华，大润发嘛<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_miao-9ebe15b2c2.png"" style=""width:1em;height:1em;;""></span>"
溪边的快乐小树,4090418218080359,孔小孔1992,下岗下岗下岗你妹啊？国家到时候都没了你们还在为自己一些蝇头小利斤斤计较！告诉你们乐天没了肯定会有其他超市取而代之，这是市场规则，还一个个挺会说话的样子，傻x。,三星android智能手机,回复<a href='http://m.weibo.cn/n/孔小孔1992'>@孔小孔1992</a>:SB们在奉旨爱国，主子指谁就咬谁，无脑二哈一群。
这是一个人神探,4090371547880966,墨sang,所以失业的中国员工可以去央视上班吗？,iPhone 7,回复<a href='http://m.weibo.cn/n/墨sang'>@墨sang</a>:真的为某些人的奴性感到悲哀。乐天这么明显的一个事情，居然还会说出来那种话。人只要勤劳努力，哪里都能找到工作。而不是在这里bb。还国家得给你安排工作，你进乐天也是给你安排的？自己不会找工作？现在到处都是工作机会。没乐天你活不了？？？而且有些知识份子也说出了一些话，真是书读到狗身上了
终会有你,4090069633381972,-,-,iPhone 6s,"看看韩国人的态度<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span> <a href=""http://weibo.cn/sinaurl?f=w&amp;u=http%3A%2F%2Ft.cn%2FR6Xd9Bt"">http://t.cn/R6Xd9Bt</a>"
wawa抱抱,4090058002726999,TONY3093-李诚涌,"回复<a href='http://m.weibo.cn/n/wawa抱抱'>@wawa抱抱</a>:<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/doraemon/dr_weixiao-596608a586.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>我仇恨您这种垃圾人，就会扣帽子，曲解爷首条评论的意思，您主子又让您们来做狗腿子啦，停歇了几天，又梅毒复发啦，破鞋就不用（骂）操您们啦，别惹得犯花病，希您们一切安好。问好。",OPPO R9,回复<a href='http://m.weibo.cn/n/TONY3093-李诚涌'>@TONY3093-李诚涌</a>:我不是什么狗腿子，学生而已，看过您的微博，有些对社会和政府不满，您也不用回复骂人了，我说的那句话有错吗，难道没有这样的法律吗？
市井边民,4090020141336709,溪上漂流,粉红蛆如愿以偿，然而它主子早已改变了态度，最近各种巴结美国,iPhone 6,回复<a href='http://m.weibo.cn/n/溪上漂流'>@溪上漂流</a>:去你妈的
