text,reply_text,name,source,comment_id,reply_name
回复<a href='http://m.weibo.cn/n/maliry98'>@maliry98</a>:5v5的时候，才落后两个人头，三个还在拼命护塔不放弃，一个已经挂机，总会有一个不停点投降，然而还是老那三个赢了这局，挂机的感觉拾到便宜，点投降的却在骂那三个是不是有挂？因为在他的词典里从没羞耻感！,我妈以前就做超市的促销……关了一家又开一家？咋的？没了乐天这些人就下岗了？失业了？我觉得是有些人夸大其词了……全国就99家乐天……我们家的小城区一年能关两家超市，日子照样过，我妈照样换着上班找工作……日子苦点，累点……我还是长大了，我妈也到时间休息享福了……,无锡热搜,红米3S,4087515801782898,maliry98
图一是吉林市乐天,-,zw向善向上zw,iPhone 6s Plus,4087515797580568,-
乐天真乖啊！,-,七犀鸟,三星 Galaxy S7,4087515797419824,-
回复<a href='http://m.weibo.cn/n/那様_的過去'>@那様_的過去</a>:那是小粉红的日常，加一条，党国不分,"回复<a href='http://m.weibo.cn/n/穿啥裤子都往下掉'>@穿啥裤子都往下掉</a>:图片评论 <a href=""http://weibo.cn/sinaurl?f=w&amp;u=http%3A%2F%2Ft.cn%2FR6LudDC"">http://t.cn/R6LudDC</a>",blue-lieutenant,iPhone SE,4087515788674191,那様_的過去
卖地真他妈比开超市赚钱，但是你他妈伤了中国人的心，中国人现在都是有血性的！,-,我老婆是个黑胖子,OPPO智能手机,4087515784968057,-
太棒了,-,田莎啊龙,华为手机,4087515784468800,-
虽然现在工作难找，但是面对萨德的危险，抵制是必须要的！否则，有天可能不是找工作的问题，而是你连命都没有了，还需要你工作么？,-,smy_舒梦悦,OPPO R7s,4087515780761692,-
"你不知道这世界是圆的嘛？你不知道旧的不去新的不来嘛？<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>",-,菜菜爱颖晏,华为P8,4087515759178030,-
回复<a href='http://m.weibo.cn/n/R1ngP0r丶傅木木'>@R1ngP0r丶傅木木</a>:其实好多大超市 你拿着乐天辞职信 很多都要的,唯一担心的是中国员工，这个失业率也是有的<a href='http://m.weibo.cn/n/路萌萌喜欢郭妹花'>@路萌萌喜欢郭妹花</a> <a href='http://m.weibo.cn/n/沈大大大毛毛'>@沈大大大毛毛</a>,路萌萌要隐匿,Android,4087515755064147,R1ngP0r丶傅木木
"回复<a href='http://m.weibo.cn/n/墨sang'>@墨sang</a>:好牛逼的<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em;height:1em;;""></span>",所以失业的中国员工可以去央视上班吗？,Simoneup,iPhone 7,4087515750862322,墨sang
