reply_name,name,text,source,comment_id,reply_text
李小朴,skull--yu,"回复<a href='http://m.weibo.cn/n/李小朴'>@李小朴</a>:新世纪的汉奸就服你<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>",红米Note 3,4087661427234392,棒子国有萨德，但中国有萨逼啊！谁怕谁啊！
-,愚忠于心,就有些脑残瞎几把操心，恶心死人。,iPhone 6s Plus,4087661381092445,-
-,你晒被子没丶,没有萨德时候，乐天消防都是合格的。萨德雷达的区域会火...,iPhone 6 Plus,4087661369734704,-
-,d的绝对值,喷子真是强大，好像偌大一个国家就靠乐天提供的几个员工岗位了！,荣耀7 世界有点不同,4087661365536808,-
黄太子老师,八六九一九九,回复<a href='http://m.weibo.cn/n/黄太子老师'>@黄太子老师</a>:有国才有家，你不是中国人你当然不懂我对于我祖国的抗卫，我是不容有人在骂我国家，就像你这种,iPhone 6s Plus,4087661361336745,回复<a href='http://m.weibo.cn/n/八六九一九九'>@八六九一九九</a>:为了祖国变鬼，精神可嘉
-,shityresy,"失业的员工都没抗议，键盘侠瞎操心些什么<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em;height:1em;;""></span>",OPPO R9,4087661348313272,-
我的名字-黑熊怪,奔跑的蜗牛1121,"回复<a href='http://m.weibo.cn/n/我的名字-黑熊怪'>@我的名字-黑熊怪</a>:天惹，韩国都把傻的布置到家门口了，你竟然微博上还满是韩国偶像韩国女团，你不爱国，狗汉奸滚一边去，本爱国者才不承认你是友军<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em;height:1em;;""></span>",iPad客户端,4087661347913884,"回复<a href='http://m.weibo.cn/n/奔跑的蜗牛1121'>@奔跑的蜗牛1121</a>:评论智商太低了，这都看不出是友军<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>"
-,暴走的翼德,主动？不是借消防检查关的吗？臭不要脸,iPhone 6,4087661339916021,-
十英寸的英雄,____小猴子o是个宝,回复<a href='http://m.weibo.cn/n/十英寸的英雄'>@十英寸的英雄</a>:还有经济补偿金,前置双摄vivo X9,4087661322721002,停业期间必须支付雇员工资这才是最重要的
Kevin君格君格Durant,175cm64kg20cm,回复<a href='http://m.weibo.cn/n/Kevin君格君格Durant'>@Kevin君格君格Durant</a>:那你跟当年的伪军有什么区别,万人迷OPPO R7,4087661314711284,闹完之后，下岗的都是中国的员工
羞涩的起哄架秧子星人,--陌人陌言--,"回复<a href='http://m.weibo.cn/n/羞涩的起哄架秧子星人'>@羞涩的起哄架秧子星人</a>:圣母婊都不能形容你了，圣母狗，希望炸弹砸到你脑袋上是你还能这么说<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em;height:1em;;""></span>",柔光自拍vivo X7Plus,4087661306574175,"算过有多少人失业么？影响多少下游供货商？直接或间接影响多少家庭么？国家面前不就业<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>"
如果呐,Staringjin,回复<a href='http://m.weibo.cn/n/如果呐'>@如果呐</a>:确实不差乐天这么个超市，但是用这种方法弄死了乐天，其他外资企业的心可是拔凉拔凉的～,iPhone 6 Plus,4087661301393063,"回复<a href='http://m.weibo.cn/n/maliry98'>@maliry98</a>:热门感觉都是智障似的，忽然看不懂这篇微博评论走向，tm国内真的不差超市，超市员工真的不差乐天那份工作。（我评价冰箱、但是我不会制冷<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em;height:1em;;""></span>）"
杨梵希全国总代,芭比伦v,回复<a href='http://m.weibo.cn/n/杨梵希全国总代'>@杨梵希全国总代</a>:你怎么不失业把位置腾给别人？,iPhone 6 Plus,4087661297526818,失业的中国人可以再找工作，远比韩狗赚着中国人的钱，买着萨德对准中国要强的多，那些员工的工资影响的了韩国花钱整萨德对准中国吗？但一天1千多亿韩元损失是个小小的打击吧！个人意见，喷子狗千万别点我回复我！
猫巷里的树语,別説話-亖,回复<a href='http://m.weibo.cn/n/猫巷里的树语'>@猫巷里的树语</a>:放心啦乐天不开，还有其他超市开的,前置双摄vivo X9,4087661255865508,希望政府能安顿中国员工吧。。
虎法,妖妖的金色裙摆,回复<a href='http://m.weibo.cn/n/虎法'>@虎法</a>:我们的政府是万能的 我们整天就吃饱了没事撑的 我们就只算今天和菜贩子讲价多讲了两毛钱就好了 省下来还能买个脑残片呢,vivo X5Pro,4087661255539038,回复<a href='http://m.weibo.cn/n/孔小孔1992'>@孔小孔1992</a>:刹得你妹啊，一个萨德就让国家没了，你纸糊的国家啊。你抵制了乐天，萨德就不部署了？傻叉。该干嘛干嘛去，政府来解决，
一只捞鱼崽,L小梁梁L,回复<a href='http://m.weibo.cn/n/一只捞鱼崽'>@一只捞鱼崽</a>:没装做看不见好吗？这事你要是放在平常说，肯定大快人心人人称赞，但是在这个时候你说这个？你觉得合适吗？孰轻孰重我想你应该更清楚吧,够快才畅快vivo X6,4087661246862233,回复<a href='http://m.weibo.cn/n/L小梁梁L'>@L小梁梁L</a>:问题一直摆在这里，没有什么时侯合适不合适一说，这事只不过把这个问题公开化了而已，不是说你装着看不见一片岁月静好就能让它不存在。国家级的制裁与交涉没问题，但下面人自以为“体恤龙意”搞这些，就要承担被人质疑我国依法治国到底公平严谨在哪里的风险，依法治国看的到底是法还是领导的眼色。
margk,陈宇清,回复<a href='http://m.weibo.cn/n/margk'>@margk</a>:SB,Android,4087661234548815,中国就是个几把国家
Kevin君格君格Durant,扭忙小兔,回复<a href='http://m.weibo.cn/n/Kevin君格君格Durant'>@Kevin君格君格Durant</a>:就没有工作可做？？？,iPhone 6s,4087661218387624,闹完之后，下岗的都是中国的员工
-,Zippycute,"让娱乐圈拿点钱出来，可以养活所有的下岗员工。<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_xiaoku-7430606cb7.png"" style=""width:1em;height:1em;;""></span>那谁身家57亿，今刚看到的。<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em;height:1em;;""></span>",红米3X,4087661205159997,-
