code,Nnindcd
2,K
4,C
5,N
6,K
7,H
8,C
9,S
10,E
11,K
12,C
14,K
16,C
17,C
18,E
19,C
20,C
21,C
22,G
23,C
25,F
26,F
27,D
28,F
29,K
30,C
31,K
32,F
34,F
35,N
36,K
38,L
39,C
40,K
42,K
43,K
45,C
46,K
48,C
49,C
50,C
55,C
56,K
58,L
59,C
60,C
61,L
62,L
63,C
65,E
66,C
68,C
69,N
70,C
78,F
88,G
89,G
90,E
96,F
99,G
100,C
150,Q
151,F
153,C
156,R
157,C
158,C
159,F
301,D
338,C
400,C
401,C
402,K
404,C
407,D
409,S
410,C
411,F
413,C
415,L
417,F
418,C
419,F
420,C
421,D
422,C
423,C
425,C
426,B
428,H
429,G
430,N
488,C
498,E
501,F
502,K
503,I
506,B
507,G
509,C
510,C
513,C
514,K
516,F
517,K
518,C
519,C
520,G
521,C
523,C
524,H
525,C
526,P
528,C
529,C
530,C
531,D
532,S
533,C
534,K
536,C
537,K
538,C
539,D
540,K
541,C
543,D
544,D
545,C
546,C
547,C
548,G
550,C
551,S
552,B
553,C
554,F
555,I
557,G
558,K
559,C
560,F
561,C
564,F
565,C
566,C
567,K
568,C
570,C
571,B
572,C
573,K
576,C
581,C
582,G
584,C
585,C
586,C
587,C
589,C
590,C
591,D
592,A
593,F
595,C
596,C
597,C
598,D
599,C
600,D
601,D
603,B
605,D
606,C
607,R
608,K
609,S
610,N
612,C
613,H
615,K
616,K
617,C
619,C
620,K
623,C
625,C
626,F
628,E
630,C
631,K
632,F
635,C
636,C
637,C
638,F
639,C
650,C
651,C
652,F
655,B
656,K
657,C
659,C
661,C
662,C
663,C
665,R
666,C
667,K
668,K
669,D
671,K
672,C
673,R
676,C
677,C
678,C
679,F
680,C
681,R
682,C
683,C
685,D
687,C
688,B
690,D
692,D
695,D
697,B
698,C
700,C
701,F
702,C
703,C
705,F
707,C
708,C
709,C
711,A
713,A
715,F
716,C
718,K
719,R
720,D
721,H
722,D
723,C
725,C
726,C
727,C
729,C
731,C
732,K
733,C
735,A
736,K
737,C
738,C
739,C
748,C
751,C
752,C
753,F
755,C
756,C
757,C
758,B
759,F
760,C
761,C
762,B
766,C
767,D
768,C
777,C
778,C
779,C
780,B
782,C
785,F
786,C
788,C
789,C
790,C
791,D
792,C
793,R
795,C
796,L
797,K
798,A
799,C
800,C
801,C
802,R
803,C
806,C
807,C
809,N
810,C
811,C
812,C
813,C
815,C
816,C
818,C
819,C
820,C
821,C
822,C
823,C
825,C
826,N
828,G
829,F
830,C
833,C
835,C
836,C
837,C
838,K
839,I
848,C
850,C
851,F
852,C
858,C
859,C
860,C
861,L
862,D
863,K
868,C
869,C
875,D
876,C
877,C
878,C
880,C
881,S
882,K
883,D
885,C
886,K
887,C
888,N
889,I
890,C
892,R
893,C
895,C
897,K
898,C
899,D
900,G
901,C
902,C
903,C
905,G
906,F
908,C
909,S
910,C
911,C
912,C
915,C
916,G
917,I
918,K
919,C
920,C
921,C
922,C
923,C
925,C
926,K
927,C
928,E
929,C
930,C
931,S
932,C
935,C
936,C
937,B
938,C
939,D
948,I
949,C
951,C
952,C
955,C
957,C
958,D
959,C
960,C
961,E
963,F
965,K
966,D
967,C
969,C
970,C
971,I
972,C
973,C
975,B
976,C
977,C
978,N
979,K
980,C
981,K
982,C
983,B
985,C
987,F
988,C
989,C
990,C
993,D
996,F
997,I
998,A
999,C
1696,C
1896,D
2001,C
2002,C
2003,C
2004,C
2005,C
2006,C
2007,C
2008,C
2009,C
2010,C
2011,C
2012,C
2013,C
2014,C
2015,C
2016,K
2017,C
2018,C
2019,C
2020,C
2021,C
2022,C
2023,C
2024,F
2025,C
2026,C
2027,L
2028,C
2029,C
2030,C
2031,C
2032,C
2033,N
2034,C
2035,C
2036,C
2037,C
2038,C
2039,D
2040,G
2041,A
2042,C
2043,C
2044,Q
2045,C
2046,C
2047,E
2048,C
2049,C
2050,C
2051,E
2052,C
2053,C
2054,C
2055,C
2056,C
2057,C
2058,C
2059,N
2060,E
2061,C
2062,E
2063,I
2064,C
2065,I
2066,C
2067,C
2068,C
2070,C
2071,R
2072,C
2073,C
2074,C
2075,C
2076,C
2077,K
2078,C
2079,C
2080,C
2081,E
2082,C
2083,C
2084,C
2085,C
2086,A
2087,C
2088,C
2089,C
2090,C
2091,F
2092,C
2093,I
2094,C
2095,I
2096,C
2097,C
2098,C
2099,C
2100,C
2101,C
2102,C
2103,C
2104,C
2105,C
2106,C
2107,C
2108,C
2110,C
2111,C
2112,C
2113,I
2114,C
2115,C
2116,M
2117,C
2118,C
2119,C
2120,C
2121,C
2122,C
2123,I
2124,C
2125,C
2126,C
2127,L
2128,B
2129,C
2130,C
2131,I
2132,C
2133,K
2134,C
2135,E
2136,C
2137,C
2138,C
2139,C
2140,E
2141,C
2143,L
2144,C
2145,C
2146,K
2147,K
2148,I
2149,C
2150,C
2151,C
2152,C
2153,I
2154,C
2155,B
2156,C
2157,C
2158,C
2159,N
2160,C
2161,C
2162,C
2163,E
2164,C
2165,C
2166,C
2167,C
2168,C
2169,C
2170,C
2171,C
2172,C
2174,I
2175,I
2176,C
2177,C
2178,M
2179,C
2180,C
2181,L
2182,C
2183,L
2184,C
2185,C
2186,H
2187,F
2188,L
2189,C
2190,C
2191,C
2192,C
2193,C
2194,C
2195,I
2196,C
2197,C
2198,C
2199,C
2200,A
2201,C
2202,C
2203,C
2204,C
2205,C
2206,C
2207,B
2208,K
2209,C
2210,L
2211,C
2212,C
2213,C
2214,C
2215,C
2216,C
2217,C
2218,C
2219,C
2220,C
2221,F
2222,C
2223,C
2224,C
2225,C
2226,C
2227,C
2228,C
2229,C
2230,I
2231,C
2232,I
2233,C
2234,A
2235,C
2236,C
2237,C
2238,I
2239,C
2240,C
2241,C
2242,C
2243,C
2244,K
2245,G
2246,C
2247,C
2248,C
2249,C
2250,C
2251,F
2252,C
2253,I
2254,C
2255,C
2256,C
2258,C
2259,C
2260,C
2261,I
2262,C
2263,C
2264,F
2265,C
2266,C
2267,D
2268,I
2269,C
2270,C
2271,C
2272,C
2273,C
2274,C
2275,C
2276,C
2277,F
2278,C
2279,I
2280,I
2281,C
2282,C
2283,C
2284,C
2285,K
2286,C
2287,C
2288,C
2290,C
2291,C
2292,C
2293,C
2294,C
2295,C
2296,C
2297,C
2298,I
2299,A
2300,C
2301,C
2302,C
2303,C
2304,C
2305,K
2306,H
2307,E
2308,C
2309,C
2310,E
2311,C
2312,C
2313,C
2314,K
2315,I
2316,I
2317,C
2318,C
2319,C
2320,G
2321,A
2322,C
2323,E
2324,C
2325,E
2326,C
2327,C
2328,C
2329,C
2330,C
2331,I
2332,C
2333,C
2334,C
2335,C
2337,C
2338,C
2339,C
2340,C
2341,C
2342,C
2343,R
2344,L
2345,C
2346,C
2347,C
2348,C
2349,C
2350,C
2351,C
2352,C
2353,C
2354,I
2355,C
2356,F
2357,G
2358,C
2359,C
2360,C
2361,C
2362,C
2363,C
2364,C
2365,C
2366,C
2367,C
2368,I
2369,C
2370,C
2371,C
2372,C
2373,I
2374,C
2375,E
2376,C
2377,C
2378,C
2380,C
2381,C
2382,C
2383,C
2384,C
2385,C
2386,C
2387,C
2388,C
2389,C
2390,C
2391,C
2392,C
2393,C
2394,C
2395,C
2396,C
2397,C
2398,M
2399,C
2400,L
2401,I
2402,C
2403,C
2404,C
2405,I
2406,C
2407,C
2408,C
2409,C
2410,I
2411,C
2412,C
2413,C
2414,C
2415,C
2416,F
2417,C
2418,C
2419,F
